iter	Passed	Remaining
1010	67295	12580
1011	67362	12513
1012	67429	12447
1013	67495	12380
1014	67561	12314
1015	67628	12247
1016	67695	12181
1017	67761	12114
1018	67827	12047
1019	67894	11981
1020	67960	11914
1021	68027	11848
1022	68094	11781
1023	68162	11715
1024	68228	11648
1025	68294	11582
1026	68360	11515
1027	68427	11448
1028	68494	11382
1029	68560	11315
1030	68626	11249
1031	68693	11182
1032	68759	11116
1033	68826	11049
1034	68892	10982
1035	68958	10916
1036	69024	10849
1037	69090	10782
1038	69156	10716
1039	69222	10649
1040	69289	10583
1041	69356	10516
1042	69422	10450
1043	69488	10383
1044	69554	10316
1045	69620	10250
1046	69686	10183
1047	69752	10116
1048	69819	10050
1049	69886	9983
1050	69954	9917
1051	70020	9850
1052	70087	9784
1053	70152	9717
1054	70219	9651
1055	70285	9584
1056	70351	9517
1057	70418	9451
1058	70484	9384
1059	70552	9318
1060	70619	9251
1061	70686	9185
1062	70753	9118
1063	70819	9052
1064	70885	8985
1065	70952	8919
1066	71018	8852
1067	71085	8785
1068	71151	8719
1069	71219	8652
1070	71285	8586
1071	71351	8519
1072	71418	8453
1073	71485	8386
1074	71551	8319
1075	71617	8253
1076	71684	8186
1077	71750	8120
1078	71816	8053
1079	71886	7987
1080	71951	7920
1081	72017	7853
1082	72083	7787
1083	72149	7720
1084	72215	7654
1085	72282	7587
1086	72348	7521
1087	72414	7454
1088	72480	7387
1089	72546	7321
1090	72613	7254
1091	72679	7188
1092	72745	7121
1093	72812	7054
1094	72878	6988
1095	72944	6921
1096	73011	6855
1097	73077	6788
1098	73143	6722
1099	73210	6655
1100	73276	6588
1101	73343	6522
1102	73409	6455
1103	73474	6389
1104	73542	6322
1105	73608	6256
1106	73626	6185
1107	73693	6118
1108	73760	6052
1109	73827	5985
1110	73893	5919
1111	73961	5853
1112	74028	5786
1113	74094	5720
1114	74161	5653
1115	74227	5587
1116	74294	5520
1117	74360	5454
1118	74426	5387
1119	74493	5320
1120	74559	5254
1121	74625	5187
1122	74691	5121
1123	74757	5054
1124	74824	4988
1125	74890	4921
1126	74957	4855
1127	75024	4788
1128	75091	4722
1129	75157	4655
1130	75223	4589
1131	75289	4522
1132	75355	4456
1133	75421	4389
1134	75488	4323
1135	75554	4256
1136	75621	4190
1137	75687	4123
1138	75754	4057
1139	75821	3990
1140	75887	3924
1141	75953	3857
1142	76020	3791
1143	76087	3724
1144	76153	3658
1145	76220	3591
1146	76287	3525
1147	76353	3458
1148	76420	3392
1149	76487	3325
1150	76554	3259
1151	76620	3192
1152	76688	3126
1153	76753	3059
1154	76820	2992
1155	76886	2926
1156	76952	2859
1157	77020	2793
1158	77086	2726
1159	77152	2660
1160	77219	2593
1161	77285	2527
1162	77352	2460
1163	77419	2394
1164	77485	2327
1165	77551	2261
1166	77617	2194
1167	77684	2128
1168	77750	2061
1169	77817	1995
1170	77883	1928
1171	77949	1862
1172	78015	1795
1173	78083	1729
1174	78149	1662
1175	78215	1596
1176	78281	1529
1177	78348	1463
1178	78414	1396
1179	78481	1330
1180	78548	1263
1181	78613	1197
1182	78681	1130
1183	78747	1064
1184	78813	997
1185	78879	931
1186	78945	864
1187	79012	798
1188	79079	731
1189	79144	665
1190	79211	598
1191	79281	532
1192	79347	465
1193	79413	399
1194	79480	332
1195	79547	266
1196	79613	199
1197	79680	133
1198	79746	66
1199	79813	0
